Volatility 3 Framework 2.7.0

Offset	PID	TID	StartAddress	CreateTime	ExitTime

0xa0851547a080	4	188	0xf800752c3ce0	2024-06-11 16:43:42.000000 	-
0xa0851547b040	4	204	0xf800753ceee0	2024-06-11 16:43:42.000000 	-
0xa0851547e040	4	192	0xf800752c3ce0	2024-06-11 16:43:42.000000 	-
0xa08515494080	2280	2284	0x7ffc932a2690	2024-06-11 16:44:14.000000 	-
0xa08515496080	2072	2288	0x7ffc932a2690	2024-06-11 16:44:14.000000 	-
0xa08515497080	100	104	0xf800757d5ff0	2024-06-11 16:43:41.000000 	-
0xa08515498080	2060	2292	0x7ffc932a2690	2024-06-11 16:44:14.000000 	-
0xa0851549a080	2060	2296	0x7ffc932a2690	2024-06-11 16:44:14.000000 	-
0xa0851549b080	4	96	0xf800753b7910	2024-06-11 16:43:41.000000 	-
0xa0851549c080	4956	4988	0x7ffc932a2690	2024-06-11 16:45:16.000000 	-
0xa085154cf080	4	40	0xf800753b5750	2024-06-11 16:43:36.000000 	-
0xa085154d0080	1184	6832	0x7ffc932a2690	2024-06-11 16:47:54.000000 	-
0xa085154d1080	4	92	0xf800753b7910	2024-06-11 16:43:41.000000 	-
0xa085154d2080	6504	2908	0x7ffc932a2690	2024-06-11 16:47:21.000000 	-
0xa085154d6080	2316	2172	0x7ffc932a2690	2024-06-11 16:45:49.000000 	-
0xa085154d7080	4	276	0xf8007adc7130	2024-06-11 16:43:51.000000 	-
0xa085154d8080	4168	3324	0x7ffc932a2690	2024-06-11 16:49:26.000000 	-
0xa085154da080	2280	2324	0x7ffc932a2690	2024-06-11 16:44:14.000000 	-
0xa085154e0080	4	16	0xf8007539ccc0	-	-
0xa085154e6080	4	144	0xf800756b80c0	2024-06-11 16:43:42.000000 	-
0xa085154e8080	4	180	0xf800756b80c0	2024-06-11 16:43:42.000000 	-
0xa085154ea080	4	80	0xf800753af150	2024-06-11 16:43:36.000000 	-
0xa085154ec500	4	84	0xf800753b9360	2024-06-11 16:43:41.000000 	-
0xa085154ee580	4	88	0xf800753b7910	2024-06-11 16:43:41.000000 	-
0xa08515502080	4	44	0xf800753b5750	2024-06-11 16:43:36.000000 	-
0xa08515504080	4	108	0xf800752c3ce0	2024-06-11 16:43:42.000000 	-
0xa08515507080	2072	2084	0x7ffc932a2690	2024-06-11 16:44:13.000000 	-
0xa08515508080	4	112	0xf800753ce6d0	2024-06-11 16:43:42.000000 	-
0xa08515509080	6700	7132	0x7ffc932a2690	2024-06-11 16:47:33.000000 	-
0xa0851550a080	4	116	0xf800753ce6d0	2024-06-11 16:43:42.000000 	-
0xa0851550e080	4	120	0xf800752c3ce0	2024-06-11 16:43:42.000000 	-
0xa0851550f080	7876	396	0x7ffc932a2690	2024-06-11 16:46:39.000000 	-
0xa08515514080	7968	6204	0x7ffc932a2690	2024-06-11 16:45:32.000000 	2024-06-11 16:45:32.000000 
0xa08515516080	3044	4072	0x7ffc932a2690	2024-06-11 16:44:23.000000 	-
0xa08515518080	3200	5980	0x7ffc932a2690	2024-06-11 16:44:37.000000 	-
0xa0851551a080	2124	2128	0x7ffc932a2690	2024-06-11 16:44:13.000000 	-
0xa0851551c080	2132	2136	0x7ffc932a2690	2024-06-11 16:44:13.000000 	-
0xa0851551e080	2140	2144	0x7ffc932a2690	2024-06-11 16:44:13.000000 	-
0xa08515520080	6648	1156	0x7ffc932a2690	2024-06-11 16:49:44.000000 	-
0xa08515522080	3888	8072	0x7ffc932a2690	2024-06-11 16:45:18.000000 	-
0xa08515524080	4	56	0xf800753b4050	2024-06-11 16:43:36.000000 	-
0xa08515525080	7968	5708	0x7ffc932a2690	2024-06-11 16:45:32.000000 	-
0xa08515526080	4	200	0xf800753ceee0	2024-06-11 16:43:42.000000 	-
0xa08515527080	2896	6044	0x7ffc932a2690	2024-06-11 16:47:13.000000 	-
0xa08515528080	1772	7964	0x7ffc932a2690	2024-06-11 16:47:37.000000 	-
0xa0851552b080	2060	2168	0x7ffc932a2690	2024-06-11 16:44:13.000000 	-
0xa0851552d080	6700	7328	0x7ffc932a2690	2024-06-11 16:44:55.000000 	-
0xa0851552f080	5676	6652	0x7ffc932a2690	2024-06-11 16:47:36.000000 	2024-06-11 16:49:23.000000 
0xa08515530380	4	124	0xf800752c3ce0	2024-06-11 16:43:42.000000 	-
0xa08515531080	1592	5496	0x7ffc932a2690	2024-06-11 16:47:31.000000 	-
0xa08515533080	4	4184	0xf800756b80c0	2024-06-11 16:49:32.000000 	-
0xa08515536080	6392	7084	0x7ffc932a2690	2024-06-11 16:49:00.000000 	-
0xa08515538080	3888	7644	0x7ffc932a2690	2024-06-11 16:45:13.000000 	-
0xa0851553a080	384	2196	0x7ffc932a2690	2024-06-11 16:44:13.000000 	-
0xa0851553c040	7124	1632	0x7ffc932a2690	2024-06-11 16:47:49.000000 	-
0xa0851553d080	4	132	0xf800756b80c0	2024-06-11 16:43:42.000000 	-
0xa0851553e080	7988	4148	0x7ffc932a2690	2024-06-11 16:47:13.000000 	-
0xa0851553f080	4	136	0xf800756b80c0	2024-06-11 16:43:42.000000 	-
0xa08515543080	4	140	0xf800756b80c0	2024-06-11 16:43:42.000000 	-
0xa08515546080	4	24	0xf800757d6370	-	-
0xa08515548080	4	148	0xf800756b80c0	2024-06-11 16:43:42.000000 	-
0xa0851554a080	4	152	0xf800756b80c0	2024-06-11 16:43:42.000000 	-
0xa0851554e080	4	156	0xf800756b80c0	2024-06-11 16:43:42.000000 	-
0xa08515550080	4	160	0xf800756b80c0	2024-06-11 16:43:42.000000 	-
0xa08515554080	4	164	0xf800756b80c0	2024-06-11 16:43:42.000000 	-
0xa08515557080	4	60	0xf800753c0680	2024-06-11 16:43:36.000000 	-
0xa08515559080	4	168	0xf800756b80c0	2024-06-11 16:43:42.000000 	-
0xa0851555d080	4	172	0xf800756b80c0	2024-06-11 16:43:42.000000 	-
0xa08515563080	4	176	0xf800756b80c0	2024-06-11 16:43:42.000000 	-
0xa08515565080	4	184	0xf800756b80c0	2024-06-11 16:43:42.000000 	-
0xa08515568080	4	20	0xf8007539ccc0	-	-
0xa0851556c080	4	208	0xf800753ceee0	2024-06-11 16:43:42.000000 	-
0xa0851556e080	4	212	0xf800753ceee0	2024-06-11 16:43:42.000000 	-
0xa08515573080	5676	5476	0x7ffc932a2690	2024-06-11 16:48:46.000000 	2024-06-11 16:48:55.000000 
0xa08515579080	4	48	0xf800753b5750	2024-06-11 16:43:36.000000 	-
0xa08515588080	1996	2044	0xcb0961c4c0e0	2024-06-11 16:44:12.000000 	-
0xa0851558a080	4	12	0xf800753cbe80	-	-
0xa0851558b080	824	1116	0x7ffc932a2690	2024-06-11 16:44:12.000000 	-
0xa0851558d080	388	1056	0x7ffc932a2690	2024-06-11 16:44:12.000000 	-
0xa0851558f080	1996	1112	0x7ffc932a2690	2024-06-11 16:44:12.000000 	-
0xa08515591080	1032	1428	0x7ffc932a2690	2024-06-11 16:45:20.000000 	-
0xa08515593080	3028	1804	0x7ffc932a2690	2024-06-11 16:46:55.000000 	-
0xa08515595080	1032	6412	0x7ffc932a2690	2024-06-11 16:48:40.000000 	-
0xa08515598080	4	272	0xf8007adc7130	2024-06-11 16:43:51.000000 	-
0xa0851559b080	4	36	0xf800753b7560	2024-06-11 16:43:36.000000 	-
0xa0851559c080	7876	8076	0x7ffc932a2690	2024-06-11 16:46:39.000000 	-
0xa0851559d080	4	268	0xf8007aa67060	2024-06-11 16:43:51.000000 	-
0xa0851559e080	1048	2344	0x7ffc932a2690	2024-06-11 16:49:35.000000 	-
0xa0851559f080	4	264	0xf8007aa67060	2024-06-11 16:43:51.000000 	-
0xa085155a1080	4	260	0xf8007aa67060	2024-06-11 16:43:51.000000 	-
0xa085155a2080	6456	7396	0x7ffc932a2690	2024-06-11 16:49:26.000000 	-
0xa085155a3080	4	256	0xf8007aa4f220	2024-06-11 16:43:51.000000 	-
0xa085155a4080	2556	788	0xa085155a44c8	2024-06-11 16:47:40.000000 	2024-06-11 16:47:46.000000 
0xa085155a5080	4	252	0xf8007a7c8940	2024-06-11 16:43:48.000000 	-
0xa085155a6080	5900	7136	0x7ffc932a2690	2024-06-11 16:47:30.000000 	-
0xa085155a7080	4	248	0xf8007a7a4340	2024-06-11 16:43:48.000000 	-
0xa085155a8080	1996	1836	0x7ffc932a2690	2024-06-11 16:44:13.000000 	-
0xa085155aa080	1996	1900	0x7ffc932a2690	2024-06-11 16:44:13.000000 	-
0xa085155ac080	4	52	0xf800753b90a0	2024-06-11 16:43:36.000000 	-
0xa085155ad080	1996	1920	0x7ffc932a2690	2024-06-11 16:44:13.000000 	-
0xa085155ae080	4	244	0xf8007a657f60	2024-06-11 16:43:48.000000 	-
0xa085155af080	1848	1876	0xcb0961c4d460	2024-06-11 16:44:13.000000 	-
0xa085155b0080	4	240	0xf8007a2308c0	2024-06-11 16:43:45.000000 	-
0xa085155b2080	4	236	0xf8007a351ae0	2024-06-11 16:43:45.000000 	-
0xa085155b3080	2440	1256	0x7ffc932a2690	2024-06-11 16:49:44.000000 	-
0xa085155b4080	4	232	0xf8007a4ff990	2024-06-11 16:43:45.000000 	-
0xa085155b6080	4	228	0xf800752c3ce0	2024-06-11 16:43:44.000000 	-
0xa085155b7040	4220	6800	0x7ffc932a2690	2024-06-11 16:46:27.000000 	-
